english,tamil
Ranaviru Sewa Authority,ரணவிரு சேவை அதிகார சபை
Annual Report 2011,வருடாந்த அறிக்கை 2011
"No.301, 4th Floor,","இல. 301, 4ஆம் மாடி,"
T.B.Jayah Mawatha,டி.பி. ஜாயா மாவத்தை
Colombo 10,கொழும்பு 10
Contents,உள்ளடக்கம்
01. Nation’s gratitude to the name 'Ranaviru',01. இராணுவ வீரன் எனும் பெயருக்கு தேசத்தின் நன்றி
02. Preamble,02. முன்னுரை
03. Our Functions,03. எமது பணிகள்
04. Targeted Beneficiaries,04. இலக்காக கொள்ளப்பட்ட பயனாளிகள்
05. Objectives,05. நோக்கங்கள்
06. Approach for the year 2011- Project Budget,06. 2011 ஆம் வருடத்திற்கான அணுகுமுறை - நிகழ்ச்சித்திட்டத்திற்கான வரவு செலவு
07. Staff of the Ranaviru Sewa Authority/,07. ரணவிரு சேவை அதிகார சபையின் பணிக்குழு /
Post of Project Manager and Administrative Officer/,திட்ட முகாமையாளர் மற்றும் நிர்வாக உத்தியோகத்தர் பதவி /
Head Quarters of the Authority,அதிகார சபையின் தலைமைக் காரியாலயம்
08. Receipt of Financial Assistance,08. நிதி உதவி பெறுதல்
09. Special projects implemented in 2011,09. 2011ஆம் வருடத்தில் செயற்படுத்தப்பட்ட விசேட  நிகழ்ச்சித்திட்டங்கள்
10. Methodologies to achieve targets and objectives,10. இலக்கையும் நோக்கத்தினையும் அடைவதற்கான வழிவகைகள்
11. Data and information Division,11. தரவு மற்றும் தகவல் பிரிவு
12. Physical and Mental empowerment division,12. உடல் மற்றும் உளவியல் வலுவூட்டல் பிரிவு
i. Psychosocial project,i. உளவியல் நிகழ்ச்சித்திட்டம்
ii. Disabled war heroes’ welfare project,ii. ஊனமுற்ற இராணுவத்தினரின் நலன்புரித்திட்டங்கள்
13. Education skills and Economic Development Division,13. கல்வித்திறன் மற்றும் பொருளாதார அபிவிருத்திப் பிரிவு
i. Skills and Development Division,i. திறன்கள் மற்றும் அபிவிருத்திப் பிரிவு
ii. Housing Loans,ii. வீட்டுக் கடன்கள்
iii. Education Scholarship Project,iii. கல்விப் புலமைப்பரிசில் திட்டம்
